"","entrezgene_id","ensembl_gene_id"
"53808",NA,"ENSG00000276093"
"53809",NA,"ENSG00000276094"
"53810",NA,"ENSG00000276095"
"53811",NA,"ENSG00000276096"
"53812",NA,"ENSG00000276097"
"53813",NA,"ENSG00000276098"
"53814",NA,"ENSG00000276100"
"53815",NA,"ENSG00000276101"
"53816",102465447,"ENSG00000276102"
"53817",NA,"ENSG00000276103"
"53818",NA,"ENSG00000276105"
"53819",NA,"ENSG00000276107"
"53820",NA,"ENSG00000276109"
"53821",NA,"ENSG00000276110"
"53822",NA,"ENSG00000276115"
"53823",NA,"ENSG00000276116"
"53824",NA,"ENSG00000276118"
"53825",392376,"ENSG00000276119"
"53826",NA,"ENSG00000276121"
"53827",NA,"ENSG00000276122"
"53828",NA,"ENSG00000276123"
"53829",102466750,"ENSG00000276124"
"53830",NA,"ENSG00000276127"
"53831",NA,"ENSG00000276128"
"53832",NA,"ENSG00000276131"
"53833",NA,"ENSG00000276136"
"53834",102465139,"ENSG00000276137"
"53835",NA,"ENSG00000276138"
"53836",NA,"ENSG00000276140"
"53837",NA,"ENSG00000276141"
"53838",102465247,"ENSG00000276147"
"53839",NA,"ENSG00000276148"
"53840",NA,"ENSG00000276149"
"53841",NA,"ENSG00000276150"
"53842",NA,"ENSG00000276156"
"53843",100302251,"ENSG00000276158"
"53844",NA,"ENSG00000276160"
"53845",NA,"ENSG00000276161"
"53846",102466081,"ENSG00000276162"
"53847",NA,"ENSG00000276164"
"53848",NA,"ENSG00000276166"
"53849",6029,"ENSG00000276168"
"53850",102466912,"ENSG00000276169"
"53851",NA,"ENSG00000276170"
"53852",NA,"ENSG00000276172"
"53853",NA,"ENSG00000276174"
"53854",102466104,"ENSG00000276176"
"53855",NA,"ENSG00000276178"
"53856",NA,"ENSG00000276179"
"53857",8294,"ENSG00000276180"
"53858",102466196,"ENSG00000276181"
"53859",NA,"ENSG00000276183"
"53860",NA,"ENSG00000276185"
"53861",NA,"ENSG00000276188"
"53862",NA,"ENSG00000276189"
"53863",NA,"ENSG00000276193"
"53864",NA,"ENSG00000276197"
"53865",NA,"ENSG00000276200"
"53866",NA,"ENSG00000276202"
"53867",642929,"ENSG00000276203"
"53868",NA,"ENSG00000276204"
"53869",NA,"ENSG00000276205"
"53870",NA,"ENSG00000276206"
"53871",NA,"ENSG00000276208"
"53872",NA,"ENSG00000276210"
"53873",NA,"ENSG00000276213"
"53874",NA,"ENSG00000276214"
"53875",NA,"ENSG00000276216"
"53876",102466874,"ENSG00000276221"
"53877",NA,"ENSG00000276223"
"53878",NA,"ENSG00000276225"
"53879",NA,"ENSG00000276229"
"53880",146850,"ENSG00000276231"
"53881",NA,"ENSG00000276232"
"53882",NA,"ENSG00000276233"
"53883",6871,"ENSG00000276234"
"53884",26687,"ENSG00000276240"
"53885",NA,"ENSG00000276241"
"53886",NA,"ENSG00000276248"
"53887",NA,"ENSG00000276250"
"53888",NA,"ENSG00000276251"
"53889",100506571,"ENSG00000276255"
"53890",389831,"ENSG00000276256"
"53891",NA,"ENSG00000276257"
"53892",NA,"ENSG00000276259"
"53893",NA,"ENSG00000276261"
"53894",NA,"ENSG00000276266"
"53895",NA,"ENSG00000276269"
"53896",102465479,"ENSG00000276270"
"53897",NA,"ENSG00000276272"
"53898",NA,"ENSG00000276277"
"53899",NA,"ENSG00000276278"
"53900",NA,"ENSG00000276281"
"53901",NA,"ENSG00000276282"
"53902",102723475,"ENSG00000276289"
"53903",NA,"ENSG00000276290"
"53904",NA,"ENSG00000276291"
"53905",NA,"ENSG00000276292"
"53906",8396,"ENSG00000276293"
"53907",NA,"ENSG00000276294"
"53908",NA,"ENSG00000276298"
"53909",NA,"ENSG00000276302"
"53910",NA,"ENSG00000276304"
"53911",NA,"ENSG00000276308"
"53912",NA,"ENSG00000276309"
"53913",102465683,"ENSG00000276311"
"53914",NA,"ENSG00000276312"
"53915",91380,"ENSG00000276314"
"53916",NA,"ENSG00000276316"
"53917",NA,"ENSG00000276317"
"53918",NA,"ENSG00000276318"
"53919",102465876,"ENSG00000276319"
"53920",100422969,"ENSG00000276326"
"53921",NA,"ENSG00000276332"
"53922",NA,"ENSG00000276334"
"53923",NA,"ENSG00000276337"
"53924",107987373,"ENSG00000276345"
"53925",NA,"ENSG00000276348"
"53926",102465517,"ENSG00000276350"
"53927",NA,"ENSG00000276351"
"53928",768214,"ENSG00000276352"
"53929",NA,"ENSG00000276353"
"53930",NA,"ENSG00000276359"
"53931",NA,"ENSG00000276362"
"53932",406937,"ENSG00000276365"
"53933",NA,"ENSG00000276366"
"53934",8331,"ENSG00000276368"
"53935",NA,"ENSG00000276375"
"53936",NA,"ENSG00000276376"
"53937",389898,"ENSG00000276380"
"53938",NA,"ENSG00000276384"
"53939",NA,"ENSG00000276385"
"53940",NA,"ENSG00000276386"
"53941",NA,"ENSG00000276388"
"53942",NA,"ENSG00000276390"
"53943",NA,"ENSG00000276391"
"53944",NA,"ENSG00000276393"
"53945",NA,"ENSG00000276396"
"53946",400661,"ENSG00000276397"
"53947",NA,"ENSG00000276398"
"53948",284124,"ENSG00000276399"
"53949",NA,"ENSG00000276400"
"53950",NA,"ENSG00000276403"
"53951",102465502,"ENSG00000276404"
"53952",NA,"ENSG00000276405"
"53953",NA,"ENSG00000276406"
"53954",NA,"ENSG00000276407"
"53955",NA,"ENSG00000276408"
"53956",6358,"ENSG00000276409"
"53957",3018,"ENSG00000276410"
"53958",NA,"ENSG00000276411"
"53959",NA,"ENSG00000276412"
"53960",NA,"ENSG00000276413"
"53961",NA,"ENSG00000276417"
"53962",NA,"ENSG00000276418"
"53963",NA,"ENSG00000276422"
"53964",NA,"ENSG00000276426"
"53965",NA,"ENSG00000276427"
"53966",NA,"ENSG00000276428"
"53967",644054,"ENSG00000276430"
"53968",NA,"ENSG00000276431"
"53969",NA,"ENSG00000276434"
"53970",NA,"ENSG00000276436"
"53971",NA,"ENSG00000276442"
"53972",NA,"ENSG00000276445"
"53973",NA,"ENSG00000276449"
"53974",NA,"ENSG00000276454"
"53975",NA,"ENSG00000276457"
"53976",NA,"ENSG00000276460"
"53977",440896,"ENSG00000276462"
"53978",NA,"ENSG00000276467"
"53979",NA,"ENSG00000276470"
"53980",NA,"ENSG00000276471"
"53981",NA,"ENSG00000276473"
"53982",NA,"ENSG00000276474"
"53983",NA,"ENSG00000276475"
"53984",100506622,"ENSG00000276476"
"53985",NA,"ENSG00000276478"
"53986",102466162,"ENSG00000276479"
"53987",NA,"ENSG00000276484"
"53988",NA,"ENSG00000276486"
"53989",NA,"ENSG00000276487"
"53990",NA,"ENSG00000276488"
"53991",102465977,"ENSG00000276489"
"53992",NA,"ENSG00000276490"
"53993",NA,"ENSG00000276493"
"53994",NA,"ENSG00000276494"
"53995",NA,"ENSG00000276496"
"53996",NA,"ENSG00000276500"
"53997",NA,"ENSG00000276502"
"53998",NA,"ENSG00000276505"
"53999",NA,"ENSG00000276507"
"54000",NA,"ENSG00000276508"
"54001",NA,"ENSG00000276509"
"54002",NA,"ENSG00000276514"
"54003",NA,"ENSG00000276517"
"54004",NA,"ENSG00000276519"
"54005",NA,"ENSG00000276520"
"54006",NA,"ENSG00000276521"
"54007",NA,"ENSG00000276522"
