"","gene_id","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","ENSG00000000003","TSPAN6",1.21928853968575,5.81645273640435,9.81872144558458,6.76504100182283e-07,3.06300241051763e-05,6.41752178023115
"2","ENSG00000000419","DPM1",0.787145288175324,4.03967031513335,4.01974917692576,0.00188761839191547,0.00594781683876578,-1.79933036307717
"3","ENSG00000000457","SCYL3",0.552373667389313,4.42431576412723,2.65174257952296,0.0219557309736348,0.0428013134833787,-4.29437580293281
"4","ENSG00000000971","CFH",1.43991644122441,10.8124683522498,7.11925615127698,1.62314495738294e-05,0.000184497290655726,3.413057328417
"5","ENSG00000001036","FUCA2",0.592182985434504,5.68022862268291,3.05179000965706,0.0106268252148295,0.0236239853818579,-3.56891554617208
"6","ENSG00000001084","GCLC",1.63446689878192,6.3572951588694,7.31388696048695,1.25677569805569e-05,0.000156503140171137,3.42402497984228
"7","ENSG00000001460","STPG1",-1.31641191905491,1.44301298425995,-5.16939595015914,0.000277157899996484,0.0013609716902497,0.524053821862179
"8","ENSG00000001497","LAS1L",0.480374601866618,4.28035594279011,3.48520899362547,0.00485961856462511,0.0125952069006532,-2.78186270520079
"9","ENSG00000001617","SEMA3F",-0.695351240423508,2.77770056044419,-3.17211439853777,0.00854471709361002,0.0197542045612681,-3.14653153575529
"10","ENSG00000001626","CFTR",-5.27152159236007,4.70193427168535,-5.89813640787154,9.02999219306108e-05,0.000597644685701171,1.31183889919394
"11","ENSG00000001629","ANKIB1",-0.323649548725626,5.25696982749858,-2.96145304958192,0.0125198420969414,0.0269834458376409,-3.75116791399101
"12","ENSG00000001630","CYP51A1",2.43599596131763,7.39159315736932,7.74816206584927,7.21879796814388e-06,0.000109927455938064,4.0723329015639
"13","ENSG00000002549","LAP3",1.33333886810419,6.8896698388755,5.56431310450833,0.000149538440389959,0.00085537731791574,0.898740260167694
"14","ENSG00000002587","HS3ST1",-3.03069508437112,1.11148098239339,-8.7819583436689,2.09879409553178e-06,5.31633647060897e-05,5.40226818437491
"15","ENSG00000002746","HECW1",-2.53026664935895,-0.770624442494309,-6.9176132347341,2.12622369194317e-05,0.000219817669510143,3.11853221029169
"16","ENSG00000002919","SNX11",0.486231712091334,3.33540587590259,3.64242665614085,0.00366957605113245,0.0101135280023251,-2.39029818959639
"17","ENSG00000002933","TMEM176A",1.98346680996844,7.62184434065482,8.51534341200158,2.85526590506207e-06,6.37399309122453e-05,5.03546784276801
"18","ENSG00000003249","DBNDD1",-1.77247059533346,2.71835962254627,-4.52748341339756,0.000791718112339793,0.00301798861242707,-0.726102528153256
"19","ENSG00000003393","ALS2",0.66719323008641,5.82733640233067,4.20157717114404,0.00137782778817841,0.00464041256602219,-1.48657066842871
"20","ENSG00000003509","NDUFAF7",0.642500828571482,3.55710999038192,4.41812128712945,0.000952041633347562,0.00347912896557352,-1.04293952087909
"21","ENSG00000003756","RBM5",-0.668083326926825,5.82293656366085,-5.31480575953851,0.000220263723609374,0.00114799788414826,0.409206859907618
"22","ENSG00000003989","SLC7A2",1.25806208545687,8.95960295951438,3.60671166653313,0.0039106611867532,0.0106139648379477,-2.2193644350273
"23","ENSG00000004142","POLDIP2",1.57304717107365,6.58887502076554,11.3282758296108,1.52968601313871e-07,1.552367564368e-05,7.95900291783178
"24","ENSG00000004399","PLXND1",-0.553137483455261,6.07952577582845,-2.80029478524992,0.0167740714008727,0.034297887076958,-3.99220336183899
"25","ENSG00000004455","AK2",1.29625202851114,6.69060647343483,8.0375650023702,5.04933577656174e-06,8.96092172286706e-05,4.39121803815371
"26","ENSG00000004478","FKBP4",1.02275027991435,5.53838774100581,8.19507716050136,4.17291446181601e-06,7.94926371041506e-05,4.52533304649886
"27","ENSG00000004660","CAMKK1",-1.41064806316193,1.19851865493479,-5.29725817054215,0.000226420461925243,0.00117163030929355,0.754603315869065
"28","ENSG00000004776","HSPB6",-2.27731522156882,1.29333088339422,-6.18096292011625,5.96154053901709e-05,0.000443599997507336,2.08883681797576
"29","ENSG00000004777","ARHGAP33",-1.65012637296039,0.225477412640529,-4.60521390298226,0.000695130564702057,0.00271983503467957,-0.25981148730568
"30","ENSG00000004779","NDUFAB1",1.4297490225327,4.51689196794926,6.6629438719119,3.01231539629221e-05,0.000279073794689024,2.46239590304052
"31","ENSG00000004864","SLC25A13",1.80622951574139,6.32282471532567,7.69116323175678,7.7539577500702e-06,0.00011505830752163,3.92269354762026
"32","ENSG00000004866","ST7",1.28254536135725,4.23152831384759,9.54193304609998,9.06506834573452e-07,3.5215131988104e-05,6.11359358970305
"33","ENSG00000004897","CDC27",0.424525220672682,5.73084492035127,2.74436622746072,0.0185647977061082,0.0373113132135738,-4.11818604522528
"34","ENSG00000004975","DVL2",-0.574857465337294,3.3938070289961,-3.07247176751555,0.0102355881731831,0.0229336398886013,-3.43068499229726
"35","ENSG00000005007","UPF1",0.424516998422743,6.07094848885818,2.67554047268562,0.0210301716962984,0.0413116889323881,-4.21494052976252
"36","ENSG00000005020","SKAP2",-0.655720908217111,4.4773467502855,-3.61559329974809,0.00384922796821143,0.0104810589765115,-2.55699438827007
"37","ENSG00000005022","SLC25A5",1.27720456193331,6.69007154965767,7.96332198537885,5.52928460278161e-06,9.42077656687516e-05,4.29743128185018
"38","ENSG00000005059","MCUB",-1.81708530810656,1.70618878740448,-8.31062583798629,3.63447501859594e-06,7.26266608555871e-05,4.86025987521451
"39","ENSG00000005075","POLR2J",1.15610224476582,3.33709194134813,4.46329267896554,0.000882053040170801,0.00327900896491284,-0.934133208676166
